name,price,primaryImg,isDeleted,quantity,discountPrice,description,view,addDate,rating,sold,path,filter
Xương rồng bánh sinh nhật 3-5cm (chậu nhựa),40000,https://product.hstatic.net/1000187613/product/img_2712_7cc444d5753543eea6dd18757eaca04f_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",Cactus,SmallCactus,",",Flower,GreenPlant,"
Xương rồng bánh sinh nhật sẵn nụ/hoa 9-11cm (chậu nhựa),100000,https://sendalongphung.com/wp-content/uploads/2019/02/1-xuong-rong-banh-sinh-nhat-hinh-dang-dang-yeu.jpg,FALSE,10,100000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",Cactus,MediumCactus,",",Flower,GreenPlant,"
Combo sen vỉ ngẫu nhiên đủ loại (không chậu),30000,https://product.hstatic.net/1000187613/product/img_3951_d856b76e8b354298a5aeb5a3bd9e8c3d_large.jpg,FALSE,10,30000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MixStoneLotus,",",NonFlower,Colorful,"
Combo 20 sen đá cỡ nhỏ ngẫu nhiên (bịch nhựa),250000,https://product.hstatic.net/1000187613/product/img_7534_d378d9c026cb47d294f158f53a8db297_large.jpg,FALSE,10,250000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MixStoneLotus,",",NonFlower,Colorful,"
Combo 10 loại sen đá cỡ nhỏ ngẫu nhiên (bịch nhựa),130000,https://product.hstatic.net/1000187613/product/img_7546_870476515ae140fab19656ffbc77db4b_large.jpg,FALSE,10,130000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MixStoneLotus,",",NonFlower,Colorful,"
Combo 6 loại sen cỡ vừa ngẫu nhiên (chậu nhựa),180000,https://product.hstatic.net/1000187613/product/img_7522_8521c62a84e94ae28b73555dc5933932_large.jpg,FALSE,10,180000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MixStoneLotus,",",NonFlower,Colorful,"
Sen guốc 9-11cm (chậu nhựa/bịch nhựa),40000,https://product.hstatic.net/1000187613/product/img_9661_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,GreenPlant,"
Sen ngọc lá dài 9-11cm (chậu nhựa/bịch nhựa),40000,https://product.hstatic.net/1000187613/product/img_5634_04dde11c465449a9ba12d1521b60fb7e_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,GreenPlant,"
Hồng mập cỡ vừa 9-11cm (chậu nhựa),60000,https://product.hstatic.net/1000187613/product/img_3308_9e398dbaeaf24b4283432ebd490d8f91_large.jpg,FALSE,10,60000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,PurplePlant,"
Sen hoa hồng nâu 11-13cm (chậu nhựa),80000,https://product.hstatic.net/1000187613/product/img_8572_ee6683b0b40d407183038b508ae6b092_large.jpg,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,LargeStoneLotus,",",NonFlower,PurplePlant,"
Sen ngọc trinh 11-13cm (chậu nhựa),100000,https://product.hstatic.net/1000187613/product/img_5549_8f6c92a8b6804603ae19784af48e42c8_large.jpg,FALSE,10,100000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,LargeStoneLotus,",",NonFlower,BluePlant,"
Hoa hồng đen 5-7cm (Chậu nhựa),40000,https://product.hstatic.net/1000187613/product/img_5000_00f2501db54347ed9f035a8d7c002882_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,PurplePlant,"
Tay gấu nhăn 5-7cm (chậu nhựa),40000,https://product.hstatic.net/1000187613/product/img_1544_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,GreenPlant,"
Sen dù kim 9-11cm (chậu nhựa),40000,https://product.hstatic.net/1000187613/product/upload_adc402bc838840eaa3c1a0f97ae0e7ba_large.jpg,FALSE,10,40000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,BluePlant,"
Sen phật bà bụi 9-11cm (chậu nhựa/bịch nhựa),50000,https://product.hstatic.net/1000187613/product/upload_54ba90adea054ab4aed5a27a9e9f14ba_large.jpg,FALSE,10,50000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,GreenPlant,"
Sen hồng mập chậu lớn (chậu nhựa),150000,https://product.hstatic.net/1000187613/product/img_0863_110760774819455b882b90401e0f7f66_master.jpg,FALSE,10,150000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,LargeStoneLotus,",",NonFlower,PurplePlant,"
Sen viền cam 11-13cm (chậu nhựa),80000,https://cf.shopee.vn/file/e470335e8944367e4121facfdfd37d03_tn,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,LargeStoneLotus,",",NonFlower,OrangePlant,"
Sen tứ phương,15000,https://product.hstatic.net/1000187613/product/img_0696_copy_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,SmallStoneLotus,",",NonFlower,PurplePlant,"
Viền tím giống mới 3-5cm (bịch nhựa),15000,https://cf.shopee.vn/file/d046af258761a13bb6eac7a5a1724db1,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Sen đá giọt nước cá heo (bịch nhựa),25000,https://caycanhonline.vn/wp-content/uploads/2019/05/sen-da-ca-heo-xanh-768x540.jpg,FALSE,10,25000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",StoneLotus,MediumStoneLotus,",",NonFlower,GreenPlant,"
Xương rồng thần long 7-9cm (chậu nhựa),90000,https://product.hstatic.net/1000187613/product/img_3867_5ab0c70e33bf40d4b64751f2878282fc_large.jpg,FALSE,10,90000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,5,",Cactus,MediumCactus,",",NonFlower,GreenPlant,"
Xương rồng tân thiên địa 4-5cm (chậu nhựa),50000,https://cf.shopee.vn/file/fe72d92749697a2b5b90accce97bfb01,FALSE,10,50000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Haworthia 4-5cm Ms 12 (chậu nhựa),80000,https://cf.shopee.vn/file/3df5c61dd9a95e5f37b1199f406ca1bd_tn,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Haworthia 4-5cm Ms 11 (chậu nhựa),80000,https://cf.shopee.vn/file/3df5c61dd9a95e5f37b1199f406ca1bd_tn,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Haworthia 4-5cm Ms 08 (chậu nhựa),80000,https://cf.shopee.vn/file/3df5c61dd9a95e5f37b1199f406ca1bd_tn,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Xương rồng mix 4 loại ngẫu nhiên (chậu nhựa),120000,https://product.hstatic.net/1000187613/product/img_0236_bf60bb42857e4dcf839529fa4fe277be_master.jpg,FALSE,10,120000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,"Cactus,MixCactus",",NonFlower,GreenPlant,"
Xương rồng đuôi khỉ (chậu nhựa),90000,https://product.hstatic.net/1000187613/product/img_7183_041ecba161ee4afea88086ce2652e722_large.jpg,FALSE,10,90000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",NonFlower,YellowPlant,"
Xương rồng thanh sơn (bịch nhựa/chậu nhựa),30000,https://product.hstatic.net/1000187613/product/img_7245_aa0ebd40c43849edba81254d0d501dc5_large.jpg,FALSE,10,30000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Xương rồng bánh sinh nhật bụi (chậu nhựa),150000,https://product.hstatic.net/1000187613/product/img_0234_8dd1138ffd80405bb3c596c0661ff5d7.jpg,FALSE,10,150000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",Flower,GreenPlant,"
Xương rồng trái vải 3-5cm (chậu nhựa),25000,https://product.hstatic.net/1000187613/product/img_0268_afc5418bf66e4034bc32e5dc664c8aed_large.jpg,FALSE,10,25000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Xương rồng bánh sinh nhật 3-4cm (chậu nhựa),25000,https://product.hstatic.net/1000187613/product/img_8944_b8f5b33fcc044ca3a5cb62f0b064c17c_large.jpg,FALSE,10,25000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Xương rồng trứng chim cỡ vừa  (bịch nhựa),25000,https://product.hstatic.net/1000187613/product/img_2742_9570a958fc8f49049285ca0121cbef12_large.jpg,FALSE,10,25000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,MediumCactus,",",NonFlower,GreenPlant,"
Xương rồng mix 3 loại (chậu nhựa),90000,https://product.hstatic.net/1000187613/product/img_0238_7814047ea8a342419de9b8bb2b6fe40a_large.jpg,FALSE,10,90000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,"Cactus,MixCactus",",NonFlower,GreenPlant,"
Xương rồng astro xanh 3-5cm (chậu nhựa),25000,https://product.hstatic.net/1000187613/product/img_3534_d8e868cce3974d6ab99439bb8d531ada_large.jpg,FALSE,10,25000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,4,3,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Xương rồng thiên nga 9-11cm (chậu nhựa),90000,https://caycanhonline.vn/wp-content/uploads/2019/05/xuong-rong-long-thien-nga-bui-1-247x247.jpg,FALSE,10,90000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",Cactus,MediumCactus,",",Flower,GreenPlant,"
Xương rồng tai thỏ (bịch nhựa/chậu nhựa),15000,https://product.hstatic.net/1000187613/product/img_9230_15bfdf82b03a45cba2cc27861733cc87_large.jpg,FALSE,10,15000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",Cactus,SmallCactus,",",NonFlower,GreenPlant,"
Chuỗi ngọc bi (chậu nhựa treo),120000,https://product.hstatic.net/1000187613/product/img_9580_large.jpg,FALSE,10,120000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Aloe cỡ lớn (Chậu nhựa),150000,https://product.hstatic.net/1000187613/product/img_0038_c5ad408c9e8349a48c7041023c354ccc_large.jpg,FALSE,10,150000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,LargeStoneLotus,",",NonFlower,GreenPlant,"
Haworthia 4-5cm Ms 04 (Chậu nhựa),80000,https://product.hstatic.net/1000187613/product/img_0039_210d8fdeaa2b4c66aca49d23dfd83901_master.jpg,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
Haworthia 4-5cm Ms 03 (Chậu nhựa),80000,https://product.hstatic.net/1000187613/product/img_0040_5795d3712cfe4943ab14a59b6ac36d34_master.jpg,FALSE,10,80000,Chưa có mô tả cho sản phẩm này,0,1/26/2021,0,0,",StoneLotus,SmallStoneLotus,",",NonFlower,GreenPlant,"
